entityid;objectid;situation;x_wgs;y_wgs
0cb7dcde-e5ba-4b2b-8faf-1942c7b2c58e;535;BOULEVARD DE LA REINE;2.13663298;48.8085974
0d36bd80-ee42-4e74-89c6-3e91d04cd5da;565;PARC SEMALLE;2.12181067;48.81355449
0ddcefbf-f646-4884-9c1b-80aaef85be8c;527;BOULEVARD DE LA REINE;2.14244966;48.80813899
0ec4a37b-61a4-463a-84bc-c12820f1e9b4;616;PARC FORESTIER DE PICARDIE;2.15655464;48.81315295
0ec84cec-b5ed-4958-9f35-30148c888771;185;ELEMENTAIRE PERSHING / R. MIQUE;2.14286665;48.8119142
0f0790cd-5079-487f-b3b6-496ac3917949;712;AVENUE DE PERSHING;2.1508266;48.81122671
0f183014-d85e-4ae5-8056-850809f8acb5;81;CRECHE DES GENDARMES;2.13073017;48.80005153
0f27b9a1-4b25-4f5d-b85e-085b6a69f376;163;MATERNELLE LES DAUPHINS;2.13166541;48.81339032
0fb88d17-16eb-4b88-9253-b6161fe7b795;285;ELEMENTAIRE JEAN BATISTE LULLY;2.15244981;48.79938799
0fcdd332-173c-4b15-89b9-844bc63d374e;831;SQUARE BLAISE PASCAL;2.15293736;48.80326856
10754488-1a7b-49d3-bb1b-6e3ec9bf5bf6;606;PARC FORESTIER DE PICARDIE;2.15747049;48.8131722
113c68cd-5bbb-43d4-82b3-22409b3d466c;76;MULTI ACCUEIL DES CHANTIERS;2.1418709;48.79461577
1185f001-4374-4cfb-91e5-f1e674dd2fb0;704;BOULEVARD SAINT ANTOINE;2.12617424;48.81626978
1199a478-1a68-420f-987a-683a19f13c9e;1054;MATERNELLE LES LUTINS;2.13777415;48.79666578
119fe837-c439-4c9c-9529-895aa9a68ebc;231;ELEMENTAIRE MARCEL LAFITAN;2.13095442;48.80861922
11f8887a-afe2-42d5-a2d6-c1f16559e33d;108;CRECHE MULTI ACCUEIL  PETITS BOIS;2.15716807;48.80930709
12100f36-465c-45dd-b10f-b9950d7f7fa5;325;AVENUE DE PARIS;2.14370923;48.79890499
12932c10-f8f3-4afa-9d42-cbdf86133683;132;ELEMENTAIRE CLEMENT ADER;2.11984297;48.7836775
12ab5e4d-6459-4643-ad3a-440d251ae656;474;AVENUE DES ETATS UNIS;2.1428196;48.80664461
12d6b952-d5fd-4754-830b-2821ce2a272f;593;PARC FORESTIER DE LA PORTE VERTE;2.1516576;48.81589637
12d9646f-b68b-4933-bed2-34d7d0574314;566;PARC SEMALLE;2.12165055;48.8135748
130a89ab-7250-4915-abac-75242e75f4e6;935;ELEMENTAIRE VAUBAN;2.15203575;48.79882893
1344e9b3-544b-4d2e-a413-056ff5634fad;923;MATERNELLE RICHARD MIQUE;2.14391059;48.81142433
13ad8582-7eb2-4955-92a3-2c99965eecf2;838;SQUARE BLAISE PASCAL;2.1526115;48.80285487
140861bc-225b-4755-9519-2de969345603;1013;MATERNELLE DUNOYER DE SEGONZAC;2.1604787;48.80242717
148e0760-3360-48f5-badd-6cd1d705be6b;138;ELEMENTAIRE CLEMENT ADER;2.12019522;48.78348288
14a6de15-6b2e-4b57-9f2a-af5d9824f6af;840;SQUARE HOCHE;2.15192203;48.80436083
14c74da6-c518-462a-bd1b-2953cd741d93;453;AVENUE DE SAINT - CLOUD;2.13306035;48.80485154
14d23f57-c411-4ac6-974b-58ce01374f71;885;AVENUE DES ETATS UNIS;2.14721988;48.80885575
14ee95be-21c6-4236-ac8c-3d38d795f70c;957;SQUARE DU STADE DES CHANTIERS BIS;2.14232376;48.79488396
1519c4e0-b325-43b7-92ff-d2c4bdccba22;958;SQUARE DU STADE DES CHANTIERS BIS;2.14221067;48.79473513
151a217f-5efe-461e-909a-279ce9d30cb6;733;SQUARE DU STADE DES CHANTIERS;2.14252057;48.79442954
156eb026-65e3-4f38-9c50-1f367c9085b7;615;PARC FORESTIER DE PICARDIE;2.15640564;48.81323454
158cfb6a-b213-4982-a901-39255a148ecd;559;PARC SEMALLE;2.12220517;48.81317639
15ab2971-62c0-4c4f-8cbf-e271717046b8;882;AVENUE DES ETATS UNIS;2.14551701;48.80822604
15af916c-4a87-40a1-9f53-7eee6a2e1bca;18;SQUARE DES FRANCINES;2.13155402;48.79654082
15ea43de-0b2b-4909-bd25-19432f2d07e5;990;SQUARE VILLENEUVE L'ETANG;2.14113518;48.81359987
15ec050d-5f89-410f-bc80-ca52b9fca4da;265;ELEMENTAIRE VILLAGE DE MONTREUIL;2.14775408;48.8042895
16630572-1bfa-4ce9-abae-33e7f1350a01;823;SQUARE BERTHIER;2.13256739;48.81072865
167d8049-b765-41e5-8b30-d9e5d98dc7f4;576;PARC SEMALLE;2.12148781;48.81342799
16b82e49-d2cb-40e8-ae97-a7739557623f;232;ELEMENTAIRE MARCEL LAFITAN;2.13106676;48.80858313
16d8e327-d5c4-47ac-ac2d-232790ca7a37;1040;MATERNELLE LE PETIT PRINCE;2.12983453;48.80829249
1702983c-37c9-4276-8de9-f7e0b55156cd;632;SQUARE RICHARD MIQUE;2.14493103;48.81225234
181614ec-c914-43fb-a681-0a84bce060ea;96;CRECHE VESLOT;2.15518703;48.79487926
182028f5-637e-4843-bc93-6cac77a4cdff;407;AVENUE DE SAINT - CLOUD;2.1292573;48.80503488
1879a638-5b18-4172-a609-5d4233ef8b9e;625;SQUARE RICHARD MIQUE;2.14558511;48.81220478
1908f88e-68aa-45e7-9eb9-6e4149e8cdca;717;PLACE DE LA LOI;2.12837695;48.81515598
19147d68-b6d3-442d-87cb-14d332ab1b08;374;AVENUE DE PARIS;2.14442651;48.79818205
1948c0c9-0bfa-460c-978d-944a60831ddc;944;MATERNELLE ANTOINE RICHARD BOAVTURE;2.15285066;48.80748573
196699fe-53de-487b-8815-8635bfef3cf4;546;BOULEVARD DE LA REINE;2.12854997;48.80918248
197e3cdc-11f5-4aea-abc0-adb885c582d4;696;RUE DES RESERVOIRS;2.12418737;48.80757066
19ebabf0-9d4e-4093-98d5-e47c8be99f0d;147;MATERNELLE COMTESSE DE SEGUR;2.128153;48.79473707
1a2d70f6-5d35-4984-b393-62ed37eb590b;282;ELEMENTAIRE JEAN BATISTE LULLY;2.15208034;48.79929562
1ae029ef-b2a2-4b05-863b-55210e1d26e7;159;ELEMENTAIRE LA MARTINIERE;2.11309535;48.78073673
1ae4a8ef-7f11-4545-bc31-bc4db91ce66a;357;AVENUE DE PARIS;2.15262627;48.79819028
1b0f5ade-c060-4a6b-ba71-25b0db13c9be;447;AVENUE DE SAINT - CLOUD;2.1346956;48.80508485
1b78eb1b-8f1a-41f7-8895-e5e1ba1c7acb;826;SQUARE BLAISE PASCAL;2.15254053;48.80438295
1c38ff95-bf07-49aa-9158-babe33159b13;187;ELEMENTAIRE PERSHING / R. MIQUE;2.14301365;48.81191848
1c4d8992-0aa2-4213-8cd3-c973b28068ac;446;AVENUE DE SAINT - CLOUD;2.13421189;48.8050499
1c5b1f57-7b4b-4244-8117-72316313ebf6;479;AVENUE DES ETATS UNIS;2.14385776;48.80721952
1c6acc69-6ae5-4a41-8bed-8fd613fc89f8;908;MATERNELLE RICHARD MIQUE;2.14334538;48.81164552
1cfc39de-27e1-4e57-98af-229ba826b673;300;AVENUE DE PARIS;2.15270674;48.79852598
1d06a171-2f6d-490a-9164-e8a226f3802b;513;BOULEVARD DE LA REINE;2.13531686;48.8088939
1d9f04c9-3df6-4537-a8c0-a8747dcd58a4;195;MATERNELLE LES MARMOUSETS;2.12595999;48.80730801
1db391de-29b0-497e-8c7a-899783ac293e;642;MATERNELLE YVES LE COZ;2.14903095;48.79053153
1e0460a1-ff09-4d31-957b-ac71253a4575;97;CRECHE VESLOT;2.15533463;48.794982
1e097c07-b9d6-4c15-9f85-c88c8bc1d167;874;SQUARE ILE DE FRANCE;2.16164892;48.8028699
1e77aa98-501f-4739-904a-8d848acd920b;938;ELEMENTAIRE VAUBAN;2.1519379;48.79919817
1f94c900-0e2d-41be-8686-6017339660e4;971;SQUARE DE L'ETANG DU DESERT;2.11273961;48.78123907
1f9792c8-1a2c-41fe-9062-626c3d9dcaed;621;SQUARE RICHARD MIQUE;2.14542131;48.81203429
1fca998f-6d96-40e0-a302-7d30ea7c9c21;801;JARDIN DES RECOLLETS;2.12294205;48.80199188
1ff8cd92-4228-40a0-aef7-f89b88705df7;978;SQUARE DE L'ETANG DE LA MARTINIERE;2.11333566;48.78197715
202a6a64-cea2-4a1f-b6c6-282c4f27b873;173;ELEMENTAIRE COLONEL DE BANGE;2.13252212;48.81411159
205c8c75-45a4-44f2-b238-8016ee235f38;52;JARDIN DE L'ECOLE DES POSTES;2.15817091;48.80180301
20794322-9bd1-43f3-8cbb-6077cb5978d7;545;BOULEVARD DE LA REINE;2.12904788;48.80919678
2081e420-f9e9-4df5-8360-9c2f1b466318;267;ELEMENTAIRE LES CONDAMINES;2.14622613;48.80188533
20b7ab46-a006-4b9e-9968-fec81067e9b9;732;SQUARE DU STADE DES CHANTIERS;2.14248753;48.79444846
20c98e48-addf-4c9f-932f-eb26c607af60;1005;MATERNELLE HONORE DE BALZAC;2.14436873;48.80548279
20e83e4b-7db6-4a7b-9ba9-24ddd39f9263;67;JARDIN DES MUSICIENS ITALIENS;2.14622241;48.80153241
2138a4f1-22fc-472b-aa2e-eb93a4c69df6;869;SQUARE ILE DE FRANCE;2.16153954;48.80284072
218715fb-116f-480b-bf09-1df2574cce4e;675;BOULEVARD DU ROI;2.12589131;48.81054405
21d428c6-58a0-44eb-9675-b5257af10e98;215;MATERNELLE VAUBAN;2.15235684;48.79980875
21f3ba5d-573f-4764-a332-f00c507abf39;969;SQUARE DE L'ETANG DU DESERT;2.11289881;48.78128223
220b196e-886c-469e-9e15-cb82f7e87fa0;514;BOULEVARD DE LA REINE;2.1349922;48.80886998
223078b9-2565-4bae-b55f-abf4bf6812ab;64;JARDIN DES MUSICIENS ITALIENS;2.14591434;48.80165841
224660df-a9a3-407f-8e80-a3cf2f40e9d2;724;SQUARE JEAN HOUDON;2.13616915;48.81335256
225a9fe2-e924-4045-9146-2e21522ab3e3;569;PARC SEMALLE;2.12171581;48.81347816
2281d27c-5082-4844-b486-d6ba790a4dda;139;ELEMENTAIRE CLEMENT ADER;2.12009713;48.78380482
22cb51ee-f88f-494c-99bf-15655ceef73a;705;BOULEVARD SAINT ANTOINE;2.12527282;48.81660215
22cbd53b-c721-4905-87d6-029df5407968;980;SQUARE MAIS QUART PORCHEFONTAINE;2.15484263;48.79490182
22d6f89d-cb6a-4e80-81dc-5aec3b18ca30;351;AVENUE DE PARIS;2.15618659;48.79810696
234689bf-88fa-44fe-b8c3-11acb869d825;633;AVENUE DE SAINT - CLOUD;2.13494132;48.804989
2370ee91-72ec-47b0-8c5a-5345b281f4e1;577;PARC SEMALLE;2.12136493;48.81333331
23c2b80a-437f-44ea-9e5a-50af0bb01f0e;573;PARC SEMALLE;2.12185012;48.81335308
23ebbbbd-0751-4991-8070-12c4c7cd1edf;549;BOULEVARD DE LA REINE;2.12707948;48.80935286
23f887ca-acc1-44a3-a53b-397e13d95566;457;AVENUE DE SAINT - CLOUD;2.13826377;48.80532389
241d1f95-57fb-4bb2-a121-800b84560540;707;BOULEVARD SAINT ANTOINE;2.12165725;48.81776946
24751c00-f308-4fc8-8fba-f124ff456641;209;MATERNELLE LES TROIS POMMIERS;2.13564021;48.80297312
24d6175b-d4f4-474e-958f-52181300a155;889;CRECHE MULTI ACCUEIL VAUBAN ANNEXE;2.15228942;48.80264565
24f7aad7-2e52-4fcd-98b6-031e1cd2acf7;434;AVENUE DE SAINT - CLOUD;2.14030817;48.80571479
252d8047-f1af-42dd-a303-d5adfa0deed4;864;SQUARE ILE DE FRANCE;2.16118113;48.80331584
2663c33e-054f-4895-a8c9-7e5b57648abb;73;CRECHE BORGNIS DESBORDES;2.12279135;48.7953464
27176976-fb16-400c-a0c3-d94625aed1f4;562;PARC SEMALLE;2.12194414;48.81352139
27586325-522b-4e86-8ec0-cf84c165c633;679;BOULEVARD DU ROI;2.12623615;48.81044858
27808bba-fd29-431e-b64f-c0ae2162d4c0;184;ELEMENTAIRE PERSHING / R. MIQUE;2.14277814;48.81191864
2791e12e-b108-4469-9f2a-388540c1b35a;563;PARC SEMALLE;2.12191711;48.81357348
27cb698c-3498-44e9-873d-1ef270699355;308;AVENUE DE PARIS;2.15042495;48.7986344
290aa510-6982-42c1-be7f-5595e9b62438;368;AVENUE DE PARIS;2.14761141;48.79801899
294630fa-8b1c-4f8d-9938-6453d7c192cb;1066;MATERNELLE DUNOYER DE SEGONZAC;2.16039368;48.80223405
2967d039-7b60-4403-aab5-904d260718b2;243;MATERNELLE DES PETITS BOIS;2.15685339;48.8060141
2a6bca53-1609-4562-90e4-0d20705f5f35;665;BOULEVARD DU ROI;2.1279023;48.81389227
2a87ad70-957c-4666-8120-3879603e1099;1026;CRECHE NOTRE DAME;2.13252656;48.81091157
2ae07def-70c4-4ded-9174-82f82bfe1aa9;564;PARC SEMALLE;2.12192422;48.81361276
2af92e81-e37d-400c-8e36-ed04a7cc8e5b;708;BOULEVARD SAINT ANTOINE;2.1204333;48.81821979
2afffb47-4825-4f1e-acca-686c60d2cda4;623;SQUARE RICHARD MIQUE;2.14550821;48.81204041
2b096d5f-3580-4be1-924b-1a4978d6cc92;582;PARC FORESTIER DE LA PORTE VERTE;2.15214266;48.81610698
2bd5c5b9-fdf1-40c6-bc37-8e64dedbaae9;764;JARDIN BONNE - AVENTURE;2.15380646;48.80715627
2c0ce57e-b3ed-435c-ab5b-95b841456768;480;AVENUE DES ETATS UNIS;2.14397457;48.80737493
2c979911-f066-4689-a004-3741788e6083;227;ELEMENTAIRE MARCEL LAFITAN;2.13098441;48.80881027
2c990b9c-0b3f-4f78-b890-bd8e7f5fbf43;196;MATERNELLE LES MARMOUSETS;2.12595418;48.8072919
2c9ae31b-452e-4277-84b2-0ca711e9bc9d;263;ELEMENTAIRE VILLAGE DE MONTREUIL;2.14781727;48.80437846
2cb199c5-83ec-41d1-89b1-a73a34cddab4;639;MATERNELLE YVES LE COZ;2.14882386;48.7904104
2cc0662f-c9de-451e-8e5d-08caf2e1cefb;33;SQUARE SAINT - LOUIS;2.1254518;48.79662019
2d0b98cd-9666-45f0-9bef-4a2b51708337;164;MATERNELLE LES DAUPHINS;2.13185082;48.81341282
2d265c0b-3ab4-432e-83e7-d46b39d84750;117;MATERNELLE LES ALIZES 1;2.1211829;48.78397554
2d308f7a-22a2-44dc-8b94-ac9dbe7d4f02;555;SQUARE SAINT - MICHEL;2.15399163;48.79402641
2d5b78e9-07ac-44a8-a9a0-7b71c6d9ef53;148;MATERNELLE COMTESSE DE SEGUR;2.12817324;48.79473167
2d886ba5-ab8f-4e87-9ea4-924f5c7c4397;499;AVENUE DES ETATS UNIS;2.14475509;48.80749008
2dbb3fa5-a274-495c-a13b-91ec0246b910;240;MATERNELLE DES PETITS BOIS;2.15693916;48.80628706
2e4ea4d8-abee-4aeb-8110-18f72d63bba7;677;BOULEVARD DU ROI;2.12549844;48.80988578
2e4f0c87-0f53-4457-8442-86517d383dca;556;SQUARE SAINT - MICHEL;2.15383788;48.79390898
2e7d3fa1-36ba-43f0-ae06-1f761bf8e194;354;AVENUE DE PARIS;2.15475301;48.79820398
2ec9ada5-2adf-413a-bb7c-b77ec83cfe95;134;ELEMENTAIRE CLEMENT ADER;2.1198971;48.78365181
2f01f2aa-d8f7-4a2d-ab65-067442361692;35;SQUARE SAINT - LOUIS;2.12525287;48.79677675
2fb9eb23-420a-4f15-9a89-7ecda11ee910;768;JARDIN BONNE - AVENTURE;2.15258133;48.80717536
303975de-a400-406b-a679-8a12e5217cce;814;JARDIN DU MUSEE LAMBINET;2.130533;48.80890522
304679e3-dadd-4f1a-a562-bca1337dc494;972;SQUARE DE L'ETANG DE LA MARTINIERE;2.11268171;48.78191928
309bd369-5dae-428f-a141-450293fd5de7;130;ELEMENTAIRE CLEMENT ADER;2.12003496;48.78381039
30e065bf-d3d9-412f-8b5f-71171e6235e5;646;AVENUE VILLENEUVE L'ETANG;2.14718384;48.81836525
3101469c-20c4-4b7c-aea2-a184873f5dfe;1035;MATERNELLE LA FARANDOLE;2.1442068;48.81395121
310b4789-301f-426d-95d5-dfc4f7ab7a5d;578;PARC SEMALLE;2.12130246;48.81313173
3118935a-d394-4ee4-91ee-3bb20e35fefe;256;ELEMENTAIRE EDME FREMY;2.13904044;48.79668647
311e06f5-fdd3-49f8-bdcb-4ee2b8baf65f;26;SQUARE SAINT - LOUIS;2.12552599;48.79686411
312ace01-4391-44d7-a912-ce6083b612b4;920;MATERNELLE RICHARD MIQUE;2.14368108;48.81146759
31b7e05e-3bb0-4e32-af65-edfe3f64f5a2;505;BOULEVARD DE LA REINE;2.14049216;48.80843287
322b5e9c-9e27-4a9b-af41-f1480ebbcaed;349;AVENUE DE PARIS;2.15710493;48.79813107
329936e7-ee97-4f0a-ac6f-65b7adc232b8;342;AVENUE DE PARIS;2.12895433;48.80271234
32d27e8e-24e3-4702-a565-f3aa71660ed1;1015;MATERNELLE DUNOYER DE SEGONZAC;2.16049245;48.80217532
330472e2-474f-4f02-8c37-ee618de727d0;523;BOULEVARD DE LA REINE;2.12806547;48.80941343
332f9689-461c-4c56-b912-cfeb0987cd30;17;SQUARE DES FRANCINES;2.13145617;48.79656251
3359346d-1993-4b5e-8d99-e831734d4a76;310;AVENUE DE PARIS;2.14900528;48.798462
335bb985-5f62-4742-a2f2-88a1a2f09efd;417;AVENUE DE SAINT - CLOUD;2.13440452;48.80540498
341a81dd-691c-4d53-af79-ba41fbd8ce10;344;AVENUE DE PARIS;2.12847192;48.80298678
341b49cc-2ac5-4477-a3bd-921a49f5d200;762;JARDIN BONNE - AVENTURE;2.15378875;48.807338
34866de3-1ced-48ad-83fd-e02ce9e163e6;370;AVENUE DE PARIS;2.14689626;48.79799829
34922fc0-0534-4748-8b64-0106d0a73704;877;MATERNELLE LA MARTINIERE;2.11380917;48.78083827
34beee59-6b5a-461a-9975-b5188149b287;748;JARDIN BONNE - AVENTURE;2.15308244;48.80764823
34ec5237-5d6d-4eb0-9a6c-dc24bea1cb6e;636;AVENUE DE SAINT - CLOUD;2.13630366;48.80554695
34f99bd4-e43d-4104-b49c-7c32b7ab2bad;443;AVENUE DE SAINT - CLOUD;2.12987356;48.80462013
35040206-b9f6-44a5-9c95-6da53bfecdb9;314;AVENUE DE PARIS;2.14737243;48.7985537
351abc8e-16d5-4a42-893e-2a90120b1e27;964;SQUARE DE L'ETANG DE LA MARTINIERE;2.1136457;48.78100339
351cd062-712e-4140-870a-7b048f3b0245;1064;MATERNELLE LES LUTINS;2.1381909;48.79640847
35a41bc7-26d5-4ea1-ba49-a711dfb9aa0e;836;SQUARE BLAISE PASCAL;2.15272309;48.80289758
35aa653d-a881-4c1f-a371-e2b5a4e26391;753;JARDIN BONNE - AVENTURE;2.15349153;48.80764889
3636b03a-0b11-43b4-ace9-2cc89201cec5;1052;MATERNELLE LES LUTINS;2.1376588;48.79664953
365ff759-f608-4bd0-b2a1-6b9a2f5be616;8;SQUARE DES FRANCINES;2.13173068;48.79663012
3699f138-51ea-4e1f-83fd-89111bb15df7;529;BOULEVARD DE LA REINE;2.14093544;48.80820435
36b5e78b-016b-4a11-9f6a-87614e525569;119;MATERNELLE LES ALIZES 1;2.12129392;48.78406383
36cbe9c8-06e7-473d-bb4a-36d86dacdfd2;503;BOULEVARD DE LA REINE;2.14295587;48.80829044
370f12f6-db0b-47cb-8d79-f093a1825706;101;SQUARE MAIS QUART PORCHEFONTAINE;2.15494678;48.79472795
3717bc29-90e0-4be6-af9e-f1cc66845251;1039;MATERNELLE LE PETIT PRINCE;2.12981566;48.80828328
375576c7-72bc-4b39-9713-a56812ef254f;631;SQUARE RICHARD MIQUE;2.14662205;48.81189755
3760b8b5-c39b-428f-861b-70ff27bce2d6;767;JARDIN BONNE - AVENTURE;2.15360423;48.80723015
378791a6-a703-47f6-813c-a931d102b574;278;ELEMENTAIRE JEAN BATISTE LULLY;2.15185083;48.79950144
383d6b2f-b4cb-45ae-ad57-8660d69341a6;834;SQUARE BLAISE PASCAL;2.15267431;48.80299171
38e62d07-c3ae-4990-befc-6fb51909f991;647;AVENUE VILLENEUVE L'ETANG;2.14749189;48.81768441
396200b4-4b84-48f5-ac35-d16772b12115;287;AVENUE DE PARIS;2.15826366;48.79890025
3994ec9a-c34e-4d32-a823-3d6fb003b4a4;202;ELEMENTAIRE PIERRE CORNEILLE;2.15185997;48.79439771
39a703a2-6405-4622-8c96-a9f891df816f;993;MATERNELLE HONORE DE BALZAC;2.14378682;48.80586945
39fa1706-7643-4804-a6af-50d4b127afee;812;JARDIN DU MUSEE LAMBINET;2.13051443;48.80895524
3a10fb95-6fa1-453b-bae7-6960677ddd70;902;JARDIN BONNE - AVENTURE;2.15393635;48.80703517
3a7015d0-2178-4cd6-9926-95963224d68c;899;JARDIN BONNE - AVENTURE;2.15376856;48.8069771
3a993464-d132-4740-bd7f-c8cea73e8f07;191;ELEMENTAIRE CARNOT;2.1257245;48.80701274
3aa13c10-6552-4f1f-9308-7a1157fee495;9;SQUARE DES FRANCINES;2.13151729;48.79664171
3b39e398-8d3d-47da-a9b7-5a2e19de9575;906;JARDIN BONNE - AVENTURE;2.1538072;48.80689193
3b52d75f-40ad-48dd-bc14-29ac8ae9ae29;853;SQUARE ILE DE FRANCE;2.16239581;48.80291421
